trip_no,start_date,end_date
330,2016-06-13 18:54:00,2016-06-13 19:23:00
331,2016-06-14 16:09:00,2016-06-14 16:39:00
332,2016-06-14 17:15:00,2016-06-14 17:24:00
333,2016-06-14 17:27:00,2016-06-14 17:57:00
334,2016-06-15 01:46:00,2016-06-15 02:06:00
335,2016-06-15 15:26:00,2016-06-15 15:34:00
336,2016-06-15 16:37:00,2016-06-15 17:02:00
337,2016-06-15 19:52:00,2016-06-15 19:58:00
338,2016-06-21 17:11:00,2016-06-21 18:02:00
339,2016-06-24 10:41:00,2016-06-24 10:57:00
340,2016-06-24 11:54:00,2016-06-24 12:01:00
341,2016-06-24 12:19:00,2016-06-24 12:37:00
342,2016-06-24 12:50:00,2016-06-24 13:12:00
343,2016-06-24 13:18:00,2016-06-24 13:27:00
344,2016-06-24 14:01:00,2016-06-24 14:20:00
345,2016-06-25 09:15:00,2016-06-25 10:08:00
346,2016-06-25 10:18:00,2016-06-25 10:25:00
347,2016-06-25 10:50:00,2016-06-25 11:18:00
348,2016-06-25 11:25:00,2016-06-25 11:34:00
349,2016-06-25 11:53:00,2016-06-25 13:21:00
350,2016-06-26 17:43:00,2016-06-26 18:18:00
351,2016-06-28 00:48:00,2016-06-28 01:05:00
352,2016-06-28 20:13:00,2016-06-28 20:33:00
353,2016-06-28 23:34:00,2016-06-28 23:59:00
354,2016-06-28 23:34:00,2016-06-28 23:59:00
355,2016-06-29 20:11:00,2016-06-29 20:29:00
356,2016-06-29 23:38:00,2016-06-30 00:00:00
357,2016-06-30 20:09:00,2016-06-30 20:26:00
358,2016-07-01 00:00:00,2016-07-01 00:25:00
359,2016-07-01 09:34:00,2016-07-01 09:57:00
360,2016-07-01 12:36:00,2016-07-01 13:00:00
361,2016-07-01 20:06:00,2016-07-01 20:24:00
362,2016-07-01 23:48:00,2016-07-02 00:09:00
363,2016-07-02 20:18:00,2016-07-02 20:36:00
364,2016-07-02 23:48:00,2016-07-03 00:12:00
365,2016-07-03 00:28:00,2016-07-03 00:38:00
366,2016-07-03 03:02:00,2016-07-03 03:08:00
367,2016-07-03 20:00:00,2016-07-03 20:18:00
368,2016-07-04 00:32:00,2016-07-04 00:47:00
369,2016-07-04 17:31:00,2016-07-04 17:49:00
370,2016-07-04 18:23:00,2016-07-04 18:49:00
371,2016-07-04 20:00:00,2016-07-04 20:17:00
372,2016-07-05 00:00:00,2016-07-05 00:05:00
373,2016-07-05 00:08:00,2016-07-05 00:28:00
374,2016-07-05 16:48:00,2016-07-05 16:52:00
375,2016-07-06 00:33:00,2016-07-06 00:53:00
376,2016-07-06 09:06:00,2016-07-06 09:25:00
377,2016-07-06 20:04:00,2016-07-06 20:14:00
378,2016-07-06 23:46:00,2016-07-06 23:59:00
379,2016-07-07 08:22:00,2016-07-07 08:50:00
380,2016-07-14 16:03:00,2016-07-14 16:34:00
381,2016-07-16 22:50:00,2016-07-16 23:03:00
